date,open,high,low,close,amount,volume,reserve
20111107,2518.9,2536.18,2507.62,2509.8,78893506560.0,78867174,41681203
20111108,2514.26,2524.82,2500.02,2503.84,76914040832.0,78672656,49414343
20111109,2512.59,2527.7,2489.02,2524.92,78141603840.0,78208571,7078717
20111110,2498.59,2507.45,2478.14,2479.54,85463859200.0,87111088,54722681
20111111,2483.96,2496.53,2472.76,2481.08,65005133824.0,66137667,30212522
20111114,2498.67,2529.63,2496.34,2528.71,82523783168.0,81229811,918447
20111115,2525.95,2534.06,2518.7,2529.76,80497344512.0,79227750,21037671
20111116,2529.07,2529.46,2456.86,2466.96,92396961792.0,93382109,59637824
20111117,2467.7,2482.53,2459.16,2463.05,65902702592.0,66414284,37093746
20111118,2448.39,2448.51,2411.04,2416.56,70566567936.0,72180807,59113531
20111121,2416.73,2419.24,2396.09,2415.13,49511108608.0,50170366,23855657
20111122,2400.98,2414.85,2387.83,2412.63,50689585152.0,51443233,37683548
20111123,2415.2,2418.56,2390.65,2395.06,50043359232.0,50547849,48038110
20111124,2379.15,2409.72,2370.69,2397.55,51411099648.0,52154149,37355867
20111125,2393.33,2403.94,2372.62,2380.22,46246207488.0,45362551,46989537
20111128,2383.89,2396.83,2372.16,2383.03,46414831616.0,46064665,30409132
20111129,2398.99,2413.33,2388.2,2412.39,57068883968.0,55123190,5768042
20111130,2406.33,2407.33,2319.44,2333.41,72215265280.0,76611103,60948518
20111201,2392.48,2423.56,2376.92,2386.86,95200518144.0,98650046,4326274
20111202,2374.9,2378.3,2344.85,2360.66,57320157184.0,59868845,55115912
20111205,2363.11,2363.13,2327.61,2333.23,48641216512.0,52214968,58785859
20111206,2326.66,2331.89,2310.16,2325.9,42625593344.0,45917077,28574196
20111207,2325.56,2339.85,2317.81,2332.73,39767465984.0,41570306,21430858
20111208,2329.91,2346.65,2302.64,2329.82,49219493888.0,51473520,34210182
20111209,2315.51,2331.26,2309.46,2315.27,38885195776.0,39988559,49021118
20111212,2312.15,2315.81,2290.26,2291.54,36516061184.0,39632578,51380385
20111213,2283.22,2285.81,2245.87,2248.59,51593326592.0,58627478,60620850
20111214,2241.39,2256.74,2224.73,2228.53,38621179904.0,44079822,53543056
20111215,2215.79,2216.91,2179.47,2180.9,47305129984.0,56712186,57671767
20111216,2179.51,2225.54,2170.75,2224.84,50568966144.0,57265903,4522885
20111219,2208.07,2221.45,2164.89,2218.24,49717682176.0,57818464,37290352
20111220,2209.7,2239.86,2206.52,2215.93,46564368384.0,52761113,34013580
20111221,2230.18,2237.47,2188.71,2191.15,46125531136.0,50877262,57933895
20111222,2178.57,2201.59,2149.42,2186.3,48023420928.0,58986117,45547765
20111223,2183.91,2219.79,2178.14,2204.78,43478781952.0,52421325,10814223
20111226,2193.66,2213.45,2186.07,2190.11,36403331072.0,43613663,40763678
20111227,2186.71,2196.97,2162.72,2166.21,37400002560.0,45712179,58327112
20111228,2157.65,2170.67,2134.02,2170.01,40007344128.0,49633435,34865540
20111229,2161.18,2181.95,2157.11,2173.56,35989659648.0,44749200,30343602
20111230,2177.52,2200.99,2177.52,2199.42,42698833920.0,51943838,3146627
20120104,2212.0,2217.52,2168.64,2169.39,40632918016.0,49245537,57278556
20120105,2160.9,2183.4,2145.56,2148.45,46603964416.0,58743447,57933909
20120106,2148.15,2164.32,2132.63,2163.39,39465869312.0,50583054,18678401
20120109,2164.74,2226.22,2148.45,2225.89,62132965376.0,76759839,525258
20120110,2221.83,2288.63,2218.28,2285.74,91045904384.0,109585415,263122
20120111,2282.91,2290.64,2265.19,2276.05,74264707072.0,84441781,37093740
20120112,2268.74,2295.22,2265.26,2275.01,63945879552.0,71569994,33030543
20120113,2277.08,2281.53,2225.74,2244.58,64030023680.0,71474322,59703352
20120116,2230.43,2241.26,2206.05,2206.19,42884792320.0,45859522,58589238
20120117,2206.53,2298.38,2196.12,2298.38,77406846976.0,87803560,263117
20120118,2298.83,2311.58,2257.9,2266.38,80655237120.0,89940422,56098932
20120119,2266.08,2305.71,2259.34,2296.08,63886737408.0,72498861,10158868
20120120,2300.5,2322.89,2293.89,2319.12,62906417152.0,69922753,10027805
20120130,2324.49,2324.49,2284.29,2285.04,51868459008.0,58413687,48431316
20120131,2285.95,2296.38,2277.06,2292.61,43777519616.0,48738325,25887237
20120201,2288.07,2305.86,2263.34,2268.08,48554971136.0,53553811,49348800
20120202,2273.85,2312.56,2268.69,2312.56,57682362368.0,63471872,2229152
20120203,2306.66,2336.27,2300.98,2330.4,70249340928.0,78943697,6095700
20120206,2334.25,2341.58,2317.42,2331.14,67305627648.0,75734477,19661404
20120207,2319.42,2319.71,2278.82,2291.9,58091081728.0,67326906,57278557
20120208,2291.81,2350.96,2286.82,2347.53,80885694464.0,87114528,787385
20120209,2344.22,2363.61,2333.93,2349.59,89658695680.0,98032325,19595879
20120210,2342.01,2368.98,2339.88,2351.98,82222465024.0,96501619,20513354
20120213,2332.05,2365.34,2325.03,2351.85,77715390464.0,86263585,16843407
20120214,2348.88,2352.47,2332.25,2344.77,66294935552.0,73130413,34472336
20120215,2340.45,2374.28,2335.1,2366.7,87632871424.0,98861021,3081101
20120216,2363.9,2373.8,2342.07,2356.86,83758448640.0,95051169,37618028
